sample_name,read_type,source_type,file_path_1,file_path_2,checksum_1,checksum_2
SRR17052122,paired,sra_paired,SRR17052122,,,
SRR17052116,paired,sra_paired,SRR17052116,,,
SRR17052113,paired,sra_paired,SRR17052113,,,
SRR17052110,paired,sra_paired,SRR17052110,,,
SRR17052107,paired,sra_paired,SRR17052107,,,
SRR17052104,paired,sra_paired,SRR17052104,,,
SRR17052103,paired,sra_paired,SRR17052103,,,
SRR17052101,paired,sra_paired,SRR17052101,,,
SRR17052100,paired,sra_paired,SRR17052100,,,
SRR17052099,paired,sra_paired,SRR17052099,,,
SRR17052098,paired,sra_paired,SRR17052098,,,
SRR17052095,paired,sra_paired,SRR17052095,,,
SRR17052093,paired,sra_paired,SRR17052093,,,
SRR17052082,paired,sra_paired,SRR17052082,,,
SRR19091061,paired,sra_paired,SRR19091061,,,
SRR19091060,paired,sra_paired,SRR19091060,,,
SRR19091059,paired,sra_paired,SRR19091059,,,
SRR19091058,paired,sra_paired,SRR19091058,,,
SRR19091057,paired,sra_paired,SRR19091057,,,
SRR19091056,paired,sra_paired,SRR19091056,,,
SRR19091055,paired,sra_paired,SRR19091055,,,
SRR19091054,paired,sra_paired,SRR19091054,,,
SRR19091053,paired,sra_paired,SRR19091053,,,
SRR19091052,paired,sra_paired,SRR19091052,,,
SRR19091051,paired,sra_paired,SRR19091051,,,
SRR19091050,paired,sra_paired,SRR19091050,,,
SRR19091049,paired,sra_paired,SRR19091049,,,
SRR19091048,paired,sra_paired,SRR19091048,,,
SRR19091047,paired,sra_paired,SRR19091047,,,
SRR19091046,paired,sra_paired,SRR19091046,,,
SRR19091045,paired,sra_paired,SRR19091045,,,
SRR19091042,paired,sra_paired,SRR19091042,,,
SRR19091041,paired,sra_paired,SRR19091041,,,
SRR19091040,paired,sra_paired,SRR19091040,,,
SRR19091039,paired,sra_paired,SRR19091039,,,
SRR19091038,paired,sra_paired,SRR19091038,,,
SRR19091037,paired,sra_paired,SRR19091037,,,
SRR19091036,paired,sra_paired,SRR19091036,,,
ERR1328272,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328272/ERR1328272.fastq.gz,,bb0e33ca210d6694931e7fbdccdd0db0,
ERR1328273,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328273/ERR1328273.fastq.gz,,8ebbf83c667857b17e6ff46bb1a7eb10,
ERR1328274,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328274/ERR1328274.fastq.gz,,cfd0474a671e62fd282e7752bf46f913,
ERR1328275,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328275/ERR1328275.fastq.gz,,f9066cc23877122fc82243f19b5c539e,
ERR1328276,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328276/ERR1328276.fastq.gz,,3053878402d9bb6a68ff2c0e4d838973,
ERR1328277,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328277/ERR1328277.fastq.gz,,46c19863f9c6790fa99d1657de2843e3,
ERR1328278,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328278/ERR1328278.fastq.gz,,ad8bad70c5f3965fd810ca46e2d19a58,
ERR1328279,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328279/ERR1328279.fastq.gz,,ec02c7e8961335374c97b3ec9710fb63,
ERR1328280,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328280/ERR1328280.fastq.gz,,8e54f704558bbc356778b66cad919c2e,
ERR1328281,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328281/ERR1328281.fastq.gz,,2aa5063d87928a10fdf179af03b6f04b,
ERR1328282,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328282/ERR1328282.fastq.gz,,a85ed15f4997eab30d78bc2c4fd5e88d,
ERR1328283,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328283/ERR1328283.fastq.gz,,4323572de1300cff93778e8d862f428b,
ERR1328284,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328284/ERR1328284.fastq.gz,,028c3251f292d3627b7817037a5f408b,
ERR1328285,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328285/ERR1328285.fastq.gz,,6dedc4c72da640cb97aa9d86f6561de0,
ERR1328286,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/006/ERR1328286/ERR1328286.fastq.gz,,4a22dfe1d42aba1d2bf437bb72e5a7c1,
ERR1328287,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/007/ERR1328287/ERR1328287.fastq.gz,,3c3d5205439ecfa7e94c87e8e4b50dbb,
ERR1328288,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/008/ERR1328288/ERR1328288.fastq.gz,,d82b8f1372d48ef81b79ebc3217150e6,
ERR1328289,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/009/ERR1328289/ERR1328289.fastq.gz,,301e019e00a3f0ce9589b352949e7ba5,
ERR1328290,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/000/ERR1328290/ERR1328290.fastq.gz,,ed570e88dfe629d0dbe5069d79b63606,
ERR1328291,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/001/ERR1328291/ERR1328291.fastq.gz,,101f2877562f3f3084d9c28b6e3b2171,
ERR1328292,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/002/ERR1328292/ERR1328292.fastq.gz,,c10b3e3aa54c21df4df25542c643bc8a,
ERR1328293,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/003/ERR1328293/ERR1328293.fastq.gz,,810ea247d043bf3d4f4609e365725def,
ERR1328294,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/004/ERR1328294/ERR1328294.fastq.gz,,aa571ede78d2934c2186af678d396774,
ERR1328295,single,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1328295/ERR1328295.fastq.gz,,c76e6d7b2dbe3daf345e7e2913b0b490,
ERR1395522,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/002/ERR1395522/ERR1395522_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/002/ERR1395522/ERR1395522_2.fastq.gz,fb185bbeed5618fe822938b8408bbbbb,e87ffdf800662193fe295778b6586023
ERR1395523,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR1395523/ERR1395523_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/003/ERR1395523/ERR1395523_2.fastq.gz,6a32d3ddcc5ae266ef45219b97d461a0,e88c7d3e0c3c78adc7694467406edee9
ERR1395524,paired,ftp,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/004/ERR1395524/ERR1395524_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/004/ERR1395524/ERR1395524_2.fastq.gz,6cbe567e7f12e23c096dfd23a31f58fa,ecd9ed74ea153ca00f9cbd09d6f84490
