,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,3.246796795122727,,1.699017094558552,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,7.120967896675998,,2.8320733486117353,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,7.030706033785428,,2.8136695741192903,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,3.569031609406216,,1.8355326787844275,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.7968808433309372,,-0.32756407906234486,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.8102477368852823,,-0.3035650089510842,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.9321430765915797,,-0.10137668073020478,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.931699530532247,,-0.10206332852958333,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.9578418257343653,,-0.06214066029270349,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.7391076020253384,,0.7983471978002443,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.247026871657105,,0.3184925535306542,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.8448373835943391,,-0.24325442030831335,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.805843325114903,,-0.3114287226992647,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.0872944657527197,,0.12074271014406257,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.7124461122741748,,0.7760585896626369,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.9265837776636162,,-0.11000667054458857,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.184101275103111,,0.24379247863625153,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,2.183780717414307,,1.1268279964675578,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.1514313709207782,,0.2034284243457991,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.1972895716401586,,0.2597721189028501,hypothetical protein
