,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,0.9320435467730007,,-0.10153073309172365,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.0149405056972751,,0.0213951612517036,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,0.9644239511393833,,-0.05226061466349552,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,0.9079587929875812,,-0.1393012714917372,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.8214206230872549,,-0.2838069259339058,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.8952415835276165,,-0.15965104454742374,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.9820079143040716,,-0.02619344317710315,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.9838915792542231,,-0.023428749536520854,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.2399312203189181,,0.3102600957275703,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.2031505513982401,,0.2668171796427212,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.03590545028104,,0.05089233059632825,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.9896010203000346,,-0.01508110712255295,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.1496820233289822,,0.20123489873513511,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.0654177439725798,,0.09141921353946003,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.234750786331335,,0.3042198874739652,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.2501057628506633,,0.3220501565557292,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,0.8518485434030934,,-0.23133114930127796,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.169292184940242,,0.2256354782811134,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.0551227511665633,,0.0774108493566752,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.0245712724392932,,0.035020346299615035,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.0902347461565658,,0.12463880532598282,hypothetical protein  conserved
