,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.0589010910547119,,0.0825678375747749,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,0.9601403936245231,,-0.05868271991099405,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,3.9759292601786886,,1.9912920886664756,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,0.6487898308835338,,-0.624176887922915,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.8938388886662374,,-0.1619132807816177,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.8911319206741398,,-0.16628907479632637,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.9399604451505335,,-0.0893280474437379,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.942737904622457,,-0.08507135925592024,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.8905726808621905,,-0.16719473842784716,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,0.8451594533145008,,-0.24270453952324322,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,0.8137689814275998,,-0.29730880488301814,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.7701061731021875,,-0.3768707336921451,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.7187987341748371,,-0.47634022666456755,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.0219408079851147,,0.031311636099989215,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,0.9088129774229011,,-0.13794465888941065,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.9284265995320198,,-0.10714023822908914,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.0276934612121116,,0.03941000389152549,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,0.8756145831033655,,-0.19163211250680146,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.0265072413669107,,0.037743804794086344,leucine-rich repeat protein (LRRP)  putative
