,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.1275595546794233,,0.17320363478585674,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.7827709767754576,,0.8341213794113381,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,5.302349305955607,,2.406631714597911,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,2.2732776386158537,,1.1847738933038103,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.3000282365187839,,0.3785429588254372,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.2530940251612845,,0.3254946704814685,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.9799900580782691,,-0.029160981612509573,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.9568712932291026,,-0.06360321104081557,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.733194470564403,,-0.447732189150583,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,0.8399664906087518,,-0.2515963203255738,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.1421131979053838,,0.1917056471660974,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.8448066211921154,,-0.2433069529897698,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.6858010919861156,,-0.5441378934401504,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.1162464279260031,,0.1586555586193441,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,0.9517683966480945,,-0.07131754410405833,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.995595214097755,,-0.006368799697010097,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.041721498276892,,0.05896962813540085,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,0.9559794903126858,,-0.06494842808466572,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.1782641807198369,,0.23666304467265675,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,0.9193892313721335,,-0.12125232664106855,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.0099791577374087,,0.014325521354162873,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,0.9893521636524518,,-0.01544394971646934,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,1.008071253681638,,0.011597616714850822,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,0.9436397676047757,,-0.08369187584658899,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,0.8374105907984877,,-0.25599293081459606,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,0.9553579541315236,,-0.06588671054285644,phosphate-repressible phosphate permease  putative
