,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,5.886629255040977,,2.5574417683408583,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,9.169724907336438,,3.196878453474137,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,12.345566994915538,,3.6259211915518086,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,5.965689566210774,,2.5766889067813024,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.9295350822057806,,-0.10541877899576946,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.8698475084811832,,-0.20116558822560116,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.8695892216330282,,-0.20159403629875783,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.865752141781048,,-0.2079740433824746,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.9981436084867746,,-0.0026806958111196266,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,2.3787686724647794,,1.2502149811725953,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.532508988074263,,0.6158955352616617,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.785747270390976,,-0.34786273963583714,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.8224278873343768,,-0.28203890983407165,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.1368625454991048,,0.18505783302125955,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,2.2621372626626375,,1.1776864722784666,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.2641270569422705,,0.33814147554688745,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.3490906258661317,,0.4319872653329533,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,3.032268518763921,,1.6003975152293668,Protein of unknown function (DUF1181)  putative
