,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,0.9661779687464126,,-0.04963913876679675,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.0098235286676316,,0.014103197372576565,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,1.0497070725554463,,0.0699867908138565,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,0.9945461606871621,,-0.00788976128541119,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.8576139844958064,,-0.2215996639071438,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.8855412913729962,,-0.1753685157812228,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.0297599054722562,,0.042308003853140264,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.031699252680952,,0.045022476671963574,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.1182266987772256,,0.16121269627339796,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.0173389311925762,,0.02480039983420035,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.1056459453629528,,0.14488947359750792,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.9678931722278844,,-0.0470802709432423,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.1443437957483964,,0.19452054679131026,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.1242118513092052,,0.16891392882719192,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.1474785285365758,,0.19846715837667173,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.2734804762723988,,0.34877684182576996,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,0.9598905823365926,,-0.059058132092152604,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.0956714382895325,,0.13181523861308975,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.1129082900832836,,0.15433471137401522,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.0779554118892625,,0.10829750427165763,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.0782590036871238,,0.108703762926603,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,0.9824504204775756,,-0.025543491522164175,DNA-directed RNA polymerase III  putative
