,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.9063827564230662,,0.9308378072621818,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,2.2764606821226634,,1.186792542073343,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,4.169494821005503,,2.059872596288531,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,10.375274416322817,,3.3750775897886056,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.0184471051514046,,0.02637105333531764,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.9479164254233559,,-0.07716822768614051,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.937372885336784,,-0.09330503119472944,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.928343114047164,,-0.10726997332137067,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.3167224246002367,,0.3969512462326623,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,4.718142103077082,,2.238218870954921,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,3.066621436231099,,1.6166500819029581,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.685785641558274,,0.7534211000274316,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.5476587570332707,,0.6300874070078626,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,2.189421317097956,,1.1305496034912705,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,4.785454787695663,,2.258656038352865,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,2.868604395673689,,1.5203490222186185,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.550327268729095,,0.6325727955862792,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,5.749764056865874,,2.5235027558877046,Protein of unknown function (DUF1181)  putative
