,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,2.8932775552043117,,1.5327047291816152,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.5020913133599978,,0.586972518130044,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,2.0786340957928187,,1.055635821378207,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.1170255706407382,,0.15966221197551356,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.8758668921201169,,-0.19121645870183013,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.9146135846471047,,-0.12876574740500146,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.8968581406904242,,-0.1570482880120121,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.9080402591413672,,-0.13917183219934515,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.9793656078748317,,-0.03008056069448717,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.07339026957451,,0.10217471506055453,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.200482279578468,,0.2636141079806986,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.9137390066163179,,-0.13014595108141558,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.8836902996771847,,-0.17838724722157728,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.171683471501616,,0.22858288053527342,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.0799165257549397,,0.11091980078353636,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.0115509855298588,,0.01656903835126844,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.0286417125964205,,0.040740562921058654,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.1468968812853684,,0.19773568294397048,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.1221737527543438,,0.16629607419046977,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,0.954293503288493,,-0.0674950439437918,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,0.8743594007533652,,-0.1937016811735317,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.0276331977350253,,0.039325402430064216,DNA-directed RNA polymerase III  putative
