,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.3431762805399694,,0.42564865872773416,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.653353627197175,,0.7253953281633979,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,8.185792292412756,,3.0331220600734685,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.8684955061402435,,0.9018770939423764,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.8472218815362533,,-0.23918824401772198,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.815663153691007,,-0.29395461282670965,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.9910324904102316,,-0.012995738802192847,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.9995136906496401,,-0.0007017667397999361,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.596898170334134,,0.6752723191124197,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.7640194176352142,,0.8188664416050973,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.5340318363063423,,0.6173284239129941,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.6170099566054321,,0.6933285621146403,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.8618589200741271,,0.8967437587073719,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.3560712985070063,,0.43943303341402995,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.8308385058386658,,0.8725045398512465,Protein of unknown function (DUF1181)  putative
