,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.098893573424803,,0.13605166970192642,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.40739933802198,,0.4930317395489525,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,2.2706223618922303,,1.183087784455918,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,2.4870036372807895,,1.3144086175198861,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.6344152764253823,,-0.6565005840002742,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.196494523521867,,0.2588137935283754,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.2736494551444348,,0.34896826117823565,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.3083476369630744,,0.38774592576429967,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.2073752581067612,,0.2718741424299047,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,0.9473554375040563,,-0.07802228406574407,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,2.448690234343609,,1.2920102807855338,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.0838530955423846,,0.1161692283755471,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.8907747822676857,,-0.16686737871532564,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,2.103215693826597,,1.0725968122461023,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,0.8425770291229804,,-0.2471195101313901,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.3748555554425068,,0.4592800547149247,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.6817072844589689,,0.7499266140296177,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,0.8974881078633512,,-0.15603527220820368,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,2.097202013068005,,1.0684658357856325,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.074617934017478,,0.10382382011856528,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.0251574108387016,,0.03584544963358205,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.2051402670373643,,0.2692010724155649,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,1.0840769132825472,,0.11646711690850609,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,0.9214939242066666,,-0.11795344128944052,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,1.3943029207332711,,0.4795440294727449,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,1.597631051386167,,0.6759342782334636,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,1.1307851027122635,,0.17732478192807122,hypothetical protein  conserved
28,Tb927.1.630,Tb927_01_v5.1,219568,220083,-,516,0.9663230616427163,,-0.049422502605607654,Anti-silencing function protein 1 homolog A
29,Tb927.1.640,Tb927_01_v5.1,220727,225673,-,4947,1.5060253916336266,,0.5907460940968932,BRCA2
30,Tb927.1.650,Tb927_01_v5.1,226021,226620,-,600,0.8015985696819174,,-0.31904816059905805,conserved protein  unknown function
31,Tb927.1.670,Tb927_01_v5.1,228043,229887,-,1845,1.281134143147059,,0.3574215432212231,conserved protein  unknown function
32,Tb927.1.690,Tb927_01_v5.1,230694,231425,-,732,0.9742865146220108,,-0.03758199769303605,hypothetical protein  conserved
33,Tb927.1.700,Tb927_01_v5.1,232504,233826,-,1323,0.8489797677325929,,-0.23619792195670009,phosphoglycerate kinase
34,Tb927.1.710,Tb927_01_v5.1,234176,235438,-,1263,0.896447959622973,,-0.15770826034143948,phosphoglycerate kinase
35,Tb927.1.720,Tb927_01_v5.1,235770,237299,-,1530,1.0213266989265217,,0.03044442501081246,phosphoglycerate kinase
36,Tb927.1.730,Tb927_01_v5.1,237834,239543,-,1710,0.9912055899976655,,-0.012743771170783624,NADH-ubiquinone oxidoreductase complex I subunit  putative
37,Tb927.1.740,Tb927_01_v5.1,240378,241685,-,1308,1.0593714269764338,,0.08320850236855826,phosphatidylinositol-4-phosphate 5-kinase related
38,Tb927.1.750,Tb927_01_v5.1,242278,245925,-,3648,1.1093925306235546,,0.1497699171554654,Metal-binding domain-containing protein
39,Tb927.1.760,Tb927_01_v5.1,246646,248931,-,2286,1.462207927700367,,0.5481484788229647,wd40 repeat domain-containing protein
40,Tb927.1.780,Tb927_01_v5.1,249453,250595,-,1143,0.9348832215670679,,-0.0971419290186164,leucine-rich repeat-containing protein
41,Tb927.1.790,Tb927_01_v5.1,250982,253387,-,2406,1.039735720106758,,0.056216870920660966,hypothetical transmembrane protein  conserved
42,Tb927.1.800,Tb927_01_v5.1,253806,254093,-,288,0.8495938819141031,,-0.23515471782717423,hypothetical transmembrane protein
43,Tb927.1.820,Tb927_01_v5.1,254856,256136,-,1281,1.2387975138925011,,0.3089403928244723,kelch domain-containing protein
44,Tb927.1.830,Tb927_01_v5.1;Tb927_01_v5.1,256902;256902,257657;259655,-;-,2754,1.1345912365088597,,0.18217262590444427,hypothetical protein  conserved
45,Tb927.1.840,Tb927_01_v5.1,260024,260587,-,564,0.8831831479379594,,-0.1792154506452457,transmembrane protein  putative
46,Tb927.1.860,Tb927_01_v5.1,261261,262067,-,807,1.1283908845188901,,0.17426691655853332,ER membrane protein complex subunit 10
47,Tb927.1.870,Tb927_01_v5.1,262552,263580,-,1029,1.0253734495821571,,0.03614944703346801,deoxyhypusine synthase
48,Tb927.1.880,Tb927_01_v5.1,264384,278162,-,13779,1.441550290217433,,0.5276211678641927,Midasin  putative
49,Tb927.1.890,Tb927_01_v5.1,278431,279201,-,771,0.9096148944692676,,-0.13667221708528032,hypothetical protein  conserved
50,Tb927.1.990,Tb927_01_v5.1,288582,289706,+,1125,0.746637256785261,,-0.4215205947673262,Enkuring domain-containig protein
