,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.3003351582764957,,0.3788835223795419,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.426433746916333,,0.512412740109278,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,19.40407307796475,,4.278287612897955,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.635748971489747,,0.7099513635764154,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.1089265077621844,,0.14916375648218505,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.9338591609808543,,-0.09872310713175203,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.0702196489098847,,0.09790692174077797,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.0270902193200762,,0.03856291315458371,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.0890123685431745,,0.12302033966966608,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.324406274921044,,0.40534575122660943,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.4037577049458827,,0.4892939413127566,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.2892164147071066,,0.3664944624720725,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.4128139194298976,,0.49857146199593094,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.2219849758346168,,0.28922654749531773,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.4118615318048233,,0.49759860335819717,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.6700853660663345,,-0.5775831943089336,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,0.8978864761257849,,-0.15539504489161082,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.800921308617991,,0.8487351439610968,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.489348932315702,,0.5746817955230696,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.805454049624765,,0.8523617029107173,hypothetical protein
