,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,0.960548203231039,,-0.05807008035375218,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.0533774155127713,,0.07502243345109066,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,0.8882135211243795,,-0.17102156151229175,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.2072214919953934,,0.27169039530391537,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.1780672127857745,,0.2364218522299213,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.2734553211792032,,0.34874834395138876,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.0710936747758724,,0.09908465956975299,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.0955629667777618,,0.1316724046817903,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.1147310681411193,,0.15669569807670847,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.2308737756373882,,0.2996828230742987,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,0.9215528637607211,,-0.11786116820887571,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.6661421843828053,,0.7365115219226275,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.6074480239963762,,0.6847720895065852,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,0.9876884368217935,,-0.01787207487889475,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.3767884142425042,,0.4613068621761034,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.8745862382592177,,-0.19332744730448992,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.2787807438876728,,0.3547689250310997,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.0688470394917495,,0.0960554067009185,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,0.7599874643542996,,-0.39595247272987333,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.692338805161872,,0.759018424010828,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,0.9207038474991647,,-0.11919091951813865,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.183542091655792,,0.24311101519228906,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,1.4083752016938478,,0.49403172993631994,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,0.9385856588869004,,-0.09143967800170483,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,1.4355704314956368,,0.5216241133224049,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,1.273659314649831,,0.34897942924683356,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,1.3610375754803337,,0.44470689726866475,hypothetical protein  conserved
28,Tb927.1.630,Tb927_01_v5.1,219568,220083,-,516,1.4815542244419444,,0.567111429472928,Anti-silencing function protein 1 homolog A
29,Tb927.1.640,Tb927_01_v5.1,220727,225673,-,4947,1.208358525369812,,0.27304857223861223,BRCA2
30,Tb927.1.650,Tb927_01_v5.1,226021,226620,-,600,0.8567085290218156,,-0.22312364347719793,conserved protein  unknown function
31,Tb927.1.670,Tb927_01_v5.1,228043,229887,-,1845,1.1222761711104883,,0.16642773981868242,conserved protein  unknown function
32,Tb927.1.690,Tb927_01_v5.1,230694,231425,-,732,1.4705794881967353,,0.5563847673109334,hypothetical protein  conserved
33,Tb927.1.700,Tb927_01_v5.1,232504,233826,-,1323,0.23836673377573767,,-2.068745186123972,phosphoglycerate kinase
34,Tb927.1.710,Tb927_01_v5.1,234176,235438,-,1263,0.8324606529312282,,-0.26454601148726553,phosphoglycerate kinase
35,Tb927.1.720,Tb927_01_v5.1,235770,237299,-,1530,0.8761374737283592,,-0.1907708356713398,phosphoglycerate kinase
36,Tb927.1.730,Tb927_01_v5.1,237834,239543,-,1710,1.1921518528825388,,0.2535680138598613,NADH-ubiquinone oxidoreductase complex I subunit  putative
37,Tb927.1.740,Tb927_01_v5.1,240378,241685,-,1308,1.1258043860843345,,0.17095617400569374,phosphatidylinositol-4-phosphate 5-kinase related
38,Tb927.1.750,Tb927_01_v5.1,242278,245925,-,3648,1.046020232480324,,0.06491075695457837,Metal-binding domain-containing protein
39,Tb927.1.760,Tb927_01_v5.1,246646,248931,-,2286,1.0678244893166915,,0.09467454103265815,wd40 repeat domain-containing protein
40,Tb927.1.780,Tb927_01_v5.1,249453,250595,-,1143,1.054322126138469,,0.07631571970855422,leucine-rich repeat-containing protein
41,Tb927.1.790,Tb927_01_v5.1,250982,253387,-,2406,1.2369450910320727,,0.3067814593652498,hypothetical transmembrane protein  conserved
42,Tb927.1.800,Tb927_01_v5.1,253806,254093,-,288,1.639713191949973,,0.7134434900037778,hypothetical transmembrane protein
43,Tb927.1.820,Tb927_01_v5.1,254856,256136,-,1281,1.617091075419174,,0.6934009344426375,kelch domain-containing protein
44,Tb927.1.830,Tb927_01_v5.1;Tb927_01_v5.1,256902;256902,257657;259655,-;-,2754,1.2040659384016605,,0.26791440073569817,hypothetical protein  conserved
45,Tb927.1.840,Tb927_01_v5.1,260024,260587,-,564,1.3405749802459381,,0.42285191354186225,transmembrane protein  putative
46,Tb927.1.860,Tb927_01_v5.1,261261,262067,-,807,1.3101923384847602,,0.3897786174187905,ER membrane protein complex subunit 10
47,Tb927.1.870,Tb927_01_v5.1,262552,263580,-,1029,1.1502398119852462,,0.20193467812039767,deoxyhypusine synthase
48,Tb927.1.880,Tb927_01_v5.1,264384,278162,-,13779,1.3238407981266724,,0.40472963758096014,Midasin  putative
49,Tb927.1.890,Tb927_01_v5.1,278431,279201,-,771,0.9402367023696924,,-0.08890409730267468,hypothetical protein  conserved
50,Tb927.1.990,Tb927_01_v5.1,288582,289706,+,1125,1.0271116408445529,,0.038593002434251567,Enkuring domain-containig protein
51,Tb927.1.1000,Tb927_01_v5.1,289893,291155,+,1263,1.5232831916755858,,0.607184176392682,developmentally regulated phosphoprotein
52,Tb927.1.1010,Tb927_01_v5.1,291585,293744,+,2160,1.1113498285844323,,0.15231301701680522,E3 ubiquitin-protein ligase KCMF1  putative
53,Tb927.1.1020,Tb927_01_v5.1,294228,295508,+,1281,0.7668203783619395,,-0.3830394175434577,leucine-rich repeat-containing protein
54,Tb927.1.1025,Tb927_01_v5.1,296394,296645,+,252,1.0228942286651799,,0.0326569723858352,conserved protein  unknown function
55,Tb927.1.1030,Tb927_01_v5.1,296968,298341,+,1374,1.4862767751015724,,0.5717028001867854,Nucleolar protein 49
56,Tb927.1.1050,Tb927_01_v5.1,300097,303453,+,3357,0.7554676962536186,,-0.4045580277184273,Metallo-dependent phosphatase-like domain-containing protein
57,Tb927.1.1060,Tb927_01_v5.1,303934,304851,+,918,1.1533400344354587,,0.20581791946921335,Cell cycle checkpoint protein RAD1-like  putative
58,Tb927.1.1080,Tb927_01_v5.1,305843,307300,+,1458,1.1170341473834589,,0.15967328923015423,TFIIH basal transcription factor subunit  putative  TFIIH basal transcription factor subunit
59,Tb927.1.1090,Tb927_01_v5.1,307648,308220,+,573,1.0628106091401606,,0.08788453421834852,hypothetical protein  conserved
60,Tb927.1.1100,Tb927_01_v5.1,308704,311616,+,2913,1.106745341473958,,0.14632330083892953,Basal body protein
61,Tb927.1.1120,Tb927_01_v5.1,312457,313566,+,1110,1.9534749535936242,,0.9660427581794231,ribosomal RNA-processing protein 8  putative
62,Tb927.1.1130,Tb927_01_v5.1,313980,315833,+,1854,1.151980454303759,,0.204116238726181,glycerol-3-phosphate dehydrogenase (FAD-dependent)  putative
63,Tb927.1.1140,Tb927_01_v5.1,316190,317263,+,1074,1.0380701856283132,,0.05390398997206969,Transmembrane protein 231  putative
64,Tb927.1.1150,Tb927_01_v5.1,317829,319271,+,1443,1.2969046609785375,,0.3750724270152075,zeta tubulin
65,Tb927.1.1160,Tb927_01_v5.1,319653,321248,+,1596,1.3026681806490021,,0.38146964330996713,kinetoplast ribosomal PPR-repeat containing protein 3
66,Tb927.1.1170,Tb927_01_v5.1,321625,321873,+,249,1.1339813446646403,,0.1813969064342933,DNA-directed RNA polymerase 2  RPB12 subunit
67,Tb927.1.1175,Tb927_01_v5.1,322220,322444,+,225,1.5308585380264783,,0.6143409739435866,hypothetical protein
68,Tb927.1.1200,Tb927_01_v5.1,323197,324486,+,1290,1.4320951027861457,,0.5181273024919069,Mitochondrial ribosomal protein S15
69,Tb927.1.1210,Tb927_01_v5.1,325554,325988,+,435,1.4250016150959557,,0.5109635544279794,conserved protein  unknown function
70,Tb927.1.1220,Tb927_01_v5.1,326712,327395,+,684,1.4250416820016945,,0.5110041182511855,RWD domain-containing protein
71,Tb927.1.1230,Tb927_01_v5.1,327663,329105,+,1443,1.0997376630671676,,0.1371594170865018,chaperone protein DnaJ  putative
72,Tb927.1.1240,Tb927_01_v5.1,330289,332058,+,1770,0.9623118463902157,,-0.05542360594846496,cytidine triphosphate synthase  putative
73,Tb927.1.1270,Tb927_01_v5.1,334687,335988,+,1302,1.2964020935440543,,0.37451325556103665,homocysteine S-methyltransferase  putative
74,Tb927.1.1300,Tb927_01_v5.1,338098,339021,+,924,1.3571380263720985,,0.4405674560817765,hypothetical transmembrane protein  conserved
75,Tb927.1.1310,Tb927_01_v5.1,339557,340849,+,1293,1.206916214170968,,0.2713255256408349,transmembrane protein  conserved
76,Tb927.1.1330,Tb927_01_v5.1,341299,342519,+,1221,1.382274301884593,,0.46704393605960437,Mitochondrial Editosome-like Complex TUTase
77,Tb927.1.1340,Tb927_01_v5.1,342978,345206,+,2229,0.8644492532822989,,-0.21014682065178913,Quinonprotein alcohol dehydrogenase-like protein  putative
78,Tb927.1.1350,Tb927_01_v5.1,345785,348445,+,2661,0.9603619252463452,,-0.05834988764051996,kinesin heavy chain  putative
79,Tb927.1.1370,Tb927_01_v5.1,350095,352134,+,2040,1.4653785333146,,0.5512733865553683,rRNA biogenesis protein  putative
