,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.0520779702125505,,0.07324162770115417,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.9842012351051435,,0.9885583493970475,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,8.68184973560847,,3.11800245281787,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,3.688475422514878,,1.8830246225511704,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.049087840701273,,0.06913548062108266,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.0154267763367153,,0.022086208885962577,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.1079833350087611,,0.14793618221650107,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.0888984616249258,,0.12286943087766922,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.7990245645933504,,-0.3236882379515764,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.5896567334514164,,0.6687152671368297,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.4985903237261469,,0.5836060412519988,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.4032313868436455,,0.4887529228049563,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.1774119231370626,,0.23561914238077497,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,1.2830514567858156,,0.3595790308804947,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.5856242161910412,,0.66505090113347,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,2.898957804814913,,1.5355343347006905,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.2506604051811023,,0.3226901042349173,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.9322373815250247,,0.950272344748933,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,1.322471903641035,,0.4032370721250649,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.8030341421294298,,0.8504267158021181,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.3018289766109103,,0.3805399317588716,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.0198735280054414,,0.028390258243700117,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,1.058235601285863,,0.08166085898961839,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,0.9961068382398717,,-0.005627606878536362,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,1.25584804003901,,0.32866190599281,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,1.2581744178208982,,0.331331933570846,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,1.2296449050769405,,0.2982417565018265,hypothetical protein  conserved
28,Tb927.1.630,Tb927_01_v5.1,219568,220083,-,516,1.381656132208781,,0.46639860119184373,Anti-silencing function protein 1 homolog A
29,Tb927.1.640,Tb927_01_v5.1,220727,225673,-,4947,1.2659321191864614,,0.3402000477847267,BRCA2
30,Tb927.1.650,Tb927_01_v5.1,226021,226620,-,600,1.1416823011602888,,0.19116124412745839,conserved protein  unknown function
31,Tb927.1.670,Tb927_01_v5.1,228043,229887,-,1845,1.1782354880124641,,0.23662791220292867,conserved protein  unknown function
32,Tb927.1.690,Tb927_01_v5.1,230694,231425,-,732,1.2024463513429857,,0.265972527776591,hypothetical protein  conserved
33,Tb927.1.700,Tb927_01_v5.1,232504,233826,-,1323,0.862156152068389,,-0.21397890374893525,phosphoglycerate kinase
34,Tb927.1.710,Tb927_01_v5.1,234176,235438,-,1263,1.0030182768619589,,0.004347894781473016,phosphoglycerate kinase
35,Tb927.1.720,Tb927_01_v5.1,235770,237299,-,1530,1.0981289826225793,,0.13504751851542807,phosphoglycerate kinase
36,Tb927.1.730,Tb927_01_v5.1,237834,239543,-,1710,1.0775612587592676,,0.10776988805780441,NADH-ubiquinone oxidoreductase complex I subunit  putative
37,Tb927.1.740,Tb927_01_v5.1,240378,241685,-,1308,1.1018834747464705,,0.1399716655660468,phosphatidylinositol-4-phosphate 5-kinase related
38,Tb927.1.750,Tb927_01_v5.1,242278,245925,-,3648,1.1763816415236523,,0.2343561749807206,Metal-binding domain-containing protein
39,Tb927.1.760,Tb927_01_v5.1,246646,248931,-,2286,1.4036627976216989,,0.4891963981581995,wd40 repeat domain-containing protein
40,Tb927.1.780,Tb927_01_v5.1,249453,250595,-,1143,1.1565586368007992,,0.2098384115661771,leucine-rich repeat-containing protein
41,Tb927.1.790,Tb927_01_v5.1,250982,253387,-,2406,1.2431879823024776,,0.3140444626256196,hypothetical transmembrane protein  conserved
42,Tb927.1.800,Tb927_01_v5.1,253806,254093,-,288,1.2989704613103294,,0.3773686241609777,hypothetical transmembrane protein
43,Tb927.1.820,Tb927_01_v5.1,254856,256136,-,1281,1.3130321520565866,,0.39290224375910743,kelch domain-containing protein
44,Tb927.1.830,Tb927_01_v5.1;Tb927_01_v5.1,256902;256902,257657;259655,-;-,2754,1.2442882126993031,,0.3153206935652655,hypothetical protein  conserved
45,Tb927.1.840,Tb927_01_v5.1,260024,260587,-,564,1.132034519274187,,0.17891795112596665,transmembrane protein  putative
46,Tb927.1.860,Tb927_01_v5.1,261261,262067,-,807,0.9496730848539472,,-0.07449712884282,ER membrane protein complex subunit 10
47,Tb927.1.870,Tb927_01_v5.1,262552,263580,-,1029,1.2086426400237154,,0.27338774526838794,deoxyhypusine synthase
48,Tb927.1.880,Tb927_01_v5.1,264384,278162,-,13779,1.0945939840295549,,0.1303958325199268,Midasin  putative
49,Tb927.1.890,Tb927_01_v5.1,278431,279201,-,771,1.4550105709770764,,0.541029634673631,hypothetical protein  conserved
50,Tb927.1.990,Tb927_01_v5.1,288582,289706,+,1125,1.1362643348461614,,0.18429849523875852,Enkuring domain-containig protein
51,Tb927.1.1000,Tb927_01_v5.1,289893,291155,+,1263,1.178883902618652,,0.23742164761073337,developmentally regulated phosphoprotein
52,Tb927.1.1010,Tb927_01_v5.1,291585,293744,+,2160,1.2699137464773071,,0.3447305113633474,E3 ubiquitin-protein ligase KCMF1  putative
53,Tb927.1.1020,Tb927_01_v5.1,294228,295508,+,1281,1.196902264023694,,0.2593053503055103,leucine-rich repeat-containing protein
54,Tb927.1.1025,Tb927_01_v5.1,296394,296645,+,252,1.3947489287650303,,0.4800054433264993,conserved protein  unknown function
55,Tb927.1.1030,Tb927_01_v5.1,296968,298341,+,1374,1.229850075962112,,0.2984824555246268,Nucleolar protein 49
56,Tb927.1.1050,Tb927_01_v5.1,300097,303453,+,3357,1.1242340084522577,,0.16894236268986607,Metallo-dependent phosphatase-like domain-containing protein
57,Tb927.1.1060,Tb927_01_v5.1,303934,304851,+,918,1.269325110781306,,0.3440616323311163,Cell cycle checkpoint protein RAD1-like  putative
58,Tb927.1.1080,Tb927_01_v5.1,305843,307300,+,1458,1.2848978346976148,,0.36165365184347475,TFIIH basal transcription factor subunit  putative  TFIIH basal transcription factor subunit
59,Tb927.1.1090,Tb927_01_v5.1,307648,308220,+,573,1.4349780776649468,,0.5210286968412756,hypothetical protein  conserved
60,Tb927.1.1100,Tb927_01_v5.1,308704,311616,+,2913,1.2722171983998434,,0.3473449947610261,Basal body protein
61,Tb927.1.1120,Tb927_01_v5.1,312457,313566,+,1110,1.090378774674052,,0.12482938401059762,ribosomal RNA-processing protein 8  putative
62,Tb927.1.1130,Tb927_01_v5.1,313980,315833,+,1854,1.2858411111440953,,0.3627123826918952,glycerol-3-phosphate dehydrogenase (FAD-dependent)  putative
