,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.0,,0.0,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.0,,0.0,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,1.0,,0.0,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.9062378490763072,,0.9307281414274247,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.9968165979271912,,0.9977018313238801,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.888190170862596,,0.9170040744157415,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,1.555406537328461,,0.6372917075153071,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,1.7657715926081796,,0.8202987385000462,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,1.5416314444912906,,0.624457903542454,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.1614227471995835,,0.21589319552542663,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.868983430265959,,0.9022537787250737,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.1152192223235624,,0.15732733334899307,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.1152192223235624,,0.15732733334899307,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,4.203092325533241,,2.071451147216994,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.0,,0.0,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,0.8383740909271824,,-0.2543339623016463,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,7.824880564365914,,2.9680687315325374,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.1152192223235624,,0.15732733334899307,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,4.016330180652833,,2.005877877458418,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,3.0624662336581197,,1.61469393724091,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,4.817405356285562,,2.2682563233225057,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.767654902124978,,0.821836646002402,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,1.492371767208276,,0.5776069725214938,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,2.120012229427815,,1.084072587092236,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,2.5159411549033783,,1.3310981795614483,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,1.8017110114778867,,0.8493676261667558,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,10.34223301194158,,3.370475809306473,hypothetical protein  conserved
28,Tb927.1.630,Tb927_01_v5.1,219568,220083,-,516,1.3715635684734357,,0.45582148897152663,Anti-silencing function protein 1 homolog A
29,Tb927.1.640,Tb927_01_v5.1,220727,225673,-,4947,3.3654679666850473,,1.7508071248282135,BRCA2
30,Tb927.1.650,Tb927_01_v5.1,226021,226620,-,600,0.824766630968451,,-0.2779421306466556,conserved protein  unknown function
31,Tb927.1.670,Tb927_01_v5.1,228043,229887,-,1845,0.7769578164623279,,-0.3640918226799421,conserved protein  unknown function
32,Tb927.1.690,Tb927_01_v5.1,230694,231425,-,732,0.9081299193770406,,-0.13902938698247524,hypothetical protein  conserved
33,Tb927.1.700,Tb927_01_v5.1,232504,233826,-,1323,1.506042583331633,,0.5907625627673649,phosphoglycerate kinase
34,Tb927.1.710,Tb927_01_v5.1,234176,235438,-,1263,2.204739078763643,,1.1406079292307387,phosphoglycerate kinase
35,Tb927.1.720,Tb927_01_v5.1,235770,237299,-,1530,3.288857867705181,,1.7175866615671582,phosphoglycerate kinase
36,Tb927.1.730,Tb927_01_v5.1,237834,239543,-,1710,0.9967426492156816,,-0.004707034222506401,NADH-ubiquinone oxidoreductase complex I subunit  putative
37,Tb927.1.740,Tb927_01_v5.1,240378,241685,-,1308,0.9445428874126574,,-0.08231179054175453,phosphatidylinositol-4-phosphate 5-kinase related
38,Tb927.1.750,Tb927_01_v5.1,242278,245925,-,3648,4.341529769860108,,2.1182034764302156,Metal-binding domain-containing protein
39,Tb927.1.760,Tb927_01_v5.1,246646,248931,-,2286,1.2654506100667657,,0.33965120084863987,wd40 repeat domain-containing protein
40,Tb927.1.780,Tb927_01_v5.1,249453,250595,-,1143,2.375249974508971,,1.2480793526043494,leucine-rich repeat-containing protein
41,Tb927.1.790,Tb927_01_v5.1,250982,253387,-,2406,1.050809155036279,,0.07150067492935008,hypothetical transmembrane protein  conserved
42,Tb927.1.800,Tb927_01_v5.1,253806,254093,-,288,1.9481387089005573,,0.962096402019145,hypothetical transmembrane protein
43,Tb927.1.820,Tb927_01_v5.1,254856,256136,-,1281,1.119233830845642,,0.1625114763140001,kelch domain-containing protein
44,Tb927.1.830,Tb927_01_v5.1;Tb927_01_v5.1,256902;256902,257657;259655,-;-,2754,1.4704199040499282,,0.5562282006295289,hypothetical protein  conserved
45,Tb927.1.840,Tb927_01_v5.1,260024,260587,-,564,1.1896905806526978,,0.2505864005892624,transmembrane protein  putative
46,Tb927.1.860,Tb927_01_v5.1,261261,262067,-,807,1.668564812921975,,0.7386077269547897,ER membrane protein complex subunit 10
47,Tb927.1.870,Tb927_01_v5.1,262552,263580,-,1029,13.428963494337395,,3.7472760504876357,deoxyhypusine synthase
48,Tb927.1.880,Tb927_01_v5.1,264384,278162,-,13779,1.1463792667951738,,0.19708442263116055,Midasin  putative
49,Tb927.1.890,Tb927_01_v5.1,278431,279201,-,771,5.198868621097435,,2.378197697807028,hypothetical protein  conserved
50,Tb927.1.990,Tb927_01_v5.1,288582,289706,+,1125,1.534902571431688,,0.6181470828441231,Enkuring domain-containig protein
