,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,3.1374096493079255,,1.6495739131280287,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,0.9849292015332729,,-0.021908070082598034,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,3.2201042304210676,,1.6871073871839537,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,6.23814539830614,,2.6411171793505073,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,5.914236169375464,,2.564191854818369,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.7574660065796714,,-0.4007469498520928,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.9623106688130494,,-0.05542537136970971,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.8426787652867146,,-0.24694532380363654,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.8330907053396083,,-0.263454512838587,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.9132201931566992,,-0.13096533404908328,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.88419334681744,,0.9139470149413755,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,2.448325554300429,,1.291795406211513,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,1.0843606625721567,,0.1168446824883227,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.270840108416328,,0.34578252813556665,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,2.0337230561236153,,1.0241232324107283,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,1.64077863983373,,0.7143806156002368,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.0248195744740067,,0.03536993712209391,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,1.6099663394555803,,0.6870305253534577,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,2.418200286692755,,1.273933740307407,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,2.1523079567378995,,1.1058845164968858,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.5695929395768236,,0.6503904570798218,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,1.7917846896948846,,0.8413972859602543,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,1.0883411131495953,,0.12213080394080134,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,0.9146923691856693,,-0.1286414794410593,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,0.8876590819344304,,-0.17192239943774368,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,0.8443742839395267,,-0.24404545390702026,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,0.9434301153453089,,-0.08401244084422999,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,0.9041996140180535,,-0.14528679308355397,hypothetical protein  conserved
