,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.0,,0.0,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.0417539816385282,,0.05901461410735093,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,1.0,,0.0,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,1.275758855877815,,0.35135565644842837,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,0.7830147378805369,,-0.3528886327515526,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,0.6749186160862679,,-0.5672145471645429,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.7208019107987766,,-0.47232525924053714,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.6778270452870726,,-0.5610108934105158,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.8271880730425994,,-0.2737127108379296,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.1622772379461324,,0.21695423578533868,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,0.5134788379080258,,-0.9616232751584306,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.913804957080019,,-0.13004182619155547,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,1.0817461800257906,,0.11336202617456848,unspecified product
14,Tb927.1.370,Tb927_01_v5.1;Tb927_01_v5.1,140214;140214,144395;144560,-;-,4347,0.5338390756283192,,-0.9055231840273361,leucine-rich repeat protein (LRRP)  putative
15,Tb927.1.380,Tb927_01_v5.1,144726,145151,-,426,0.7334646049816577,,-0.4472007478701223,Protein of unknown function (DUF1181)  putative
16,Tb927.1.400,Tb927_01_v5.1,147842,148204,+,363,1.287151989780138,,0.36418242026826997,hypothetical protein  conserved
17,Tb927.1.420,Tb927_01_v5.1,156384,158411,+,2028,0.6542172129924793,,-0.6121583764752367,retrotransposon hot spot protein 5 (RHS5)  putative
18,Tb927.1.470,Tb927_01_v5.1,181089,181451,+,363,1.7654877754475604,,0.8200668316541601,Protein of unknown function (DUF1181)  putative
19,Tb927.1.480,Tb927_01_v5.1,181845,186029,+,4185,0.5962165357992774,,-0.7460917065009305,leucine-rich repeat protein (LRRP)  putative
20,Tb927.1.490,Tb927_01_v5.1,189837,190085,+,249,1.1825511294800475,,0.2419025621292603,hypothetical protein
21,Tb927.1.530,Tb927_01_v5.1;Tb927_01_v5.1,203196;203196,203510;204017,-;-,822,0.7885752290728343,,-0.3426797020361838,hypothetical protein  conserved
22,Tb927.1.540,Tb927_01_v5.1,204418,207807,-,3390,0.6778602157459628,,-0.5609402947438022,DNA-directed RNA polymerase III  putative
23,Tb927.1.560,Tb927_01_v5.1,208703,210031,-,1329,0.7350121373826489,,-0.4441600212687291,WD domain  G-beta repeat  putative
24,Tb927.1.570,Tb927_01_v5.1,210592,211419,-,828,1.048039898125108,,0.06769364028335056,Histone-lysine N-methyltransferase  H3 lysine-76 specific
25,Tb927.1.580,Tb927_01_v5.1,212455,214005,-,1551,0.9505491366840565,,-0.07316688893079393,phosphate-repressible phosphate permease  putative
26,Tb927.1.600,Tb927_01_v5.1,216164,217711,-,1548,0.9426450061961839,,-0.08521353101130202,phosphate-repressible phosphate permease  putative
27,Tb927.1.610,Tb927_01_v5.1,218081,218989,-,909,1.0549970807110693,,0.0772390068476354,hypothetical protein  conserved
28,Tb927.1.630,Tb927_01_v5.1,219568,220083,-,516,0.6757468430243215,,-0.565445228140407,Anti-silencing function protein 1 homolog A
29,Tb927.1.640,Tb927_01_v5.1,220727,225673,-,4947,0.6137285310238992,,-0.7043274418178118,BRCA2
30,Tb927.1.650,Tb927_01_v5.1,226021,226620,-,600,0.9331855720840907,,-0.09976409279847154,conserved protein  unknown function
31,Tb927.1.670,Tb927_01_v5.1,228043,229887,-,1845,0.5650010158060623,,-0.8236746335594463,conserved protein  unknown function
32,Tb927.1.690,Tb927_01_v5.1,230694,231425,-,732,1.1558629660354867,,0.20897036847900363,hypothetical protein  conserved
33,Tb927.1.700,Tb927_01_v5.1,232504,233826,-,1323,0.9860885404922229,,-0.020210903462519525,phosphoglycerate kinase
34,Tb927.1.710,Tb927_01_v5.1,234176,235438,-,1263,0.984497654686223,,-0.022540325608258804,phosphoglycerate kinase
35,Tb927.1.720,Tb927_01_v5.1,235770,237299,-,1530,0.7890023551686022,,-0.3418984882037721,phosphoglycerate kinase
36,Tb927.1.730,Tb927_01_v5.1,237834,239543,-,1710,0.7830014428505299,,-0.3529131288890719,NADH-ubiquinone oxidoreductase complex I subunit  putative
37,Tb927.1.740,Tb927_01_v5.1,240378,241685,-,1308,0.6785074288475919,,-0.5595634833656975,phosphatidylinositol-4-phosphate 5-kinase related
38,Tb927.1.750,Tb927_01_v5.1,242278,245925,-,3648,0.6519828338085927,,-0.617094114948249,Metal-binding domain-containing protein
39,Tb927.1.760,Tb927_01_v5.1,246646,248931,-,2286,0.7843616997592959,,-0.35040900417673715,wd40 repeat domain-containing protein
40,Tb927.1.780,Tb927_01_v5.1,249453,250595,-,1143,1.1274005170758565,,0.17300013427581717,leucine-rich repeat-containing protein
41,Tb927.1.790,Tb927_01_v5.1,250982,253387,-,2406,0.6905137041299075,,-0.5342580479868504,hypothetical transmembrane protein  conserved
42,Tb927.1.800,Tb927_01_v5.1,253806,254093,-,288,0.9697802258689211,,-0.04427025786965011,hypothetical transmembrane protein
43,Tb927.1.820,Tb927_01_v5.1,254856,256136,-,1281,1.1818575240597162,,0.24105612542936772,kelch domain-containing protein
44,Tb927.1.830,Tb927_01_v5.1;Tb927_01_v5.1,256902;256902,257657;259655,-;-,2754,0.9046130373850596,,-0.1446273064846615,hypothetical protein  conserved
45,Tb927.1.840,Tb927_01_v5.1,260024,260587,-,564,0.9571136141161491,,-0.06323790497954773,transmembrane protein  putative
46,Tb927.1.860,Tb927_01_v5.1,261261,262067,-,807,1.26777705019677,,0.34230105710492076,ER membrane protein complex subunit 10
47,Tb927.1.870,Tb927_01_v5.1,262552,263580,-,1029,1.023321193773303,,0.033259040424524766,deoxyhypusine synthase
48,Tb927.1.880,Tb927_01_v5.1,264384,278162,-,13779,0.6818717974501197,,-0.5524275793465243,Midasin  putative
49,Tb927.1.890,Tb927_01_v5.1,278431,279201,-,771,1.1478627744842815,,0.19895017998891307,hypothetical protein  conserved
