,Geneid,Chr,Start,End,Strand,Length,counts,Family,log_2FC,desc
0,Tb927.1.05,Tb927_01_v5.1,381,1961,-,1581,1.2090997756239827,,0.27393330154196804,variant surface glycoprotein (VSG)  putative
1,Tb927.1.10,Tb927_01_v5.1,6871,7203,+,333,1.0,,0.0,hypothetical protein
2,Tb927.1.30,Tb927_01_v5.1,11158,11865,+,708,1.1532173010914417,,0.20566438607621673,hypothetical protein
3,Tb927.1.40,Tb927_01_v5.1,12407,12733,-,327,1.1425776241568855,,0.19229218207284138,hypothetical protein
4,Tb927.1.70,Tb927_01_v5.1,44937,46994,-,2058,2.1890879453999212,,1.1303299151600958,retrotransposon hot spot protein 4 (RHS4)  putative
5,Tb927.1.110,Tb927_01_v5.1,59858,60184,+,327,1.1970502825604783,,0.25948375451787076,hypothetical protein  conserved
6,Tb927.1.120,Tb927_01_v5.1,60266,62836,-,2571,1.0784887977851387,,0.10901119136738835,retrotransposon hot spot protein 4 (RHS4)  putative
7,Tb927.1.180,Tb927_01_v5.1,69904,72405,-,2502,0.98384551522961,,-0.0234962954907747,retrotransposon hot spot protein 1 (RHS1)  putative
8,Tb927.1.220,Tb927_01_v5.1,85854,88355,-,2502,0.9874815187046789,,-0.018174347340753627,retrotransposon hot spot protein 1 (RHS1)  putative
9,Tb927.1.270,Tb927_01_v5.1,106654,107025,+,372,0.9451518640824014,,-0.08138193914519842,hypothetical protein
10,Tb927.1.280,Tb927_01_v5.1,112381,112743,+,363,1.3612675610547555,,0.4449506605735425,Protein of unknown function (DUF1181)  putative
11,Tb927.1.290,Tb927_01_v5.1,113137,117318,+,4182,1.2170544528913465,,0.28339371789458223,leucine-rich repeat protein (LRRP)  putative
12,Tb927.1.305,Tb927_01_v5.1,129281,129517,+,237,0.9550175463226727,,-0.0664008551838342,unspecified product
13,Tb927.1.345,Tb927_01_v5.1,132695,132913,-,219,0.9791653615634093,,-0.030375571971776427,unspecified product
